word1,count
cant,870
ditto,60
man,3540
campus,230
bulletin,23
professors,35
assignments,36
due,679
gameday,21
report,478
bonuses,19
colton's,2
page,1048
jobs,541
beasting,3
wrap,179
ppl,519
facebook,1167
irs,22
talking,1291
seem,761
inverted,9
wildly,30
disproportionate,8
agbt,1
lunch,1018
afternoon,694
session,497
genomic,4
studies,159
sequencing's,1
genomes,1
hour,1336
firework,9
store,1013
gas,374
dildofarm,1
playground,41
square,346
root,131
pork,162
chop,76
hell,1118
nah,178
reading,1381
tom's,10
passover,28
texting,136
anytime,194
friend,1965
russ,15
ticular,1
fortitude,8
phil,131
jackson,252
van,213
gundy,9
jerry,101
sloan,12
amari,2
step,696
coach,454
falling,264
hoping,580
waiting,1058
praying,191
congratulations,422
anniversary,244
movie,1532
cry,460
jackets,28
rabbits,21
colorado,151
~robert,9
frost,49
putting,517
sweatshirts,10
fresh,628
dryer,40
bases,41
try,2463
clown,52
signing,161
recruit,26
cannot,729
alonso,5
wanted,1642
perez,25
overwhelmed,62
true,1786
channel,282
onstage,18
mantra,26
principal,53
leading,233
teachers,360
staff,410
cherish,30
challenge,887
employee,87
leaders,255
weeks,1427
trusting,35
discussion,260
women's,161
group,1099
oc,27
jail,128
approx,21
battered,27
fantastic,490
careers,47
panel,266
speakers,106
salerno,1
sergio,12
paredes,2
adrienne,17
diprima,1
jesus>religion,1
video,1327
church,714
youtube,380
truth,559
inspire,127
speaks,109
comforts,11
affirms,5
believing,76
calls,422
thankful,318
stick,375
thumb,61
dat,201
yo,592
ass,1277
unsolicited,9
uh,273
umpire,6
ludwick,1
knowledgeable,18
baseball,418
cuz,545
~maya,2
angelou,9
geekend,2
apologies,87
hacked,126
pw,10
solve,97
problem,1117
tirade,5
en,82
private,347
message,616
que,44
jodo,1
mucho,6
con,72
birthday,2029
looked,834
belated,40
sophia,13
mum&dad,1
sequin,2
sweaters,27
rolling,191
chairs,101
woot,111
spending,400
line,1372
brazilian,36
consulate,9
high,2050
fives,13
war,590
room,1855
stopped,401
marijuana,51
everyone's,133
offering,194
stingy,8
sky,281
mcdonalds,66
um,315
hehe,127
soft,295
gigantic,33
counting,155
head,1862
elvis,42
hair,1205
enough,2076
left,2069
boat,186
ipod,168
top,1783
boating,24
goin,252
breakfast,529
broken,382
egg,302
patience,154
young'un,2
toenails,8
paint,373
pink,441
red,1374
instead,1072
intuition,16
given,812
rein,8
ebell,1
backs,69
canard,2
confirmation,45
bias,42
turned,780
wasn't,1136
scratcher,1
seemed,379
noticed,337
whitney,135
passed,432
away,2730
legend,120
full,1645
audience,284
regulars,5
tonight's,191
romeo,24
santos,10
ft,156
usher,23
sing,363
perimeter,14
stars,306
stoned,21
immaculate,10
scholarship,68
web,479
picture,1062
honor,280
ghost,134
walk,1065
dr,504
helene,4
knabe,1
md,75
chilling,81
chatham,6
lockerbie,3
aint,298
tho,539
agenda,90
strategies,65
investments,32
ks,29
projects,486
savings,87
landfill,8
otherwise,261
georgia,98
probably,1539
gossip,60
girl,2260
manga,16
status,271
pleasure,321
meeting,1054
kelly,149
fabulous,353
lady,711
pulls,57
clothes,421
xox,24
thursday's,18
digital,425
learning,737
process,635
strengthening,10
assessing,8
century,266
ferdi,1
serim,1
est,102
gag,26
lame,165
firehouse,6
subs,27
tgifriday,1
worried,229
bout,627
nun,35
bt,23
thirsty,76
females,99
shhh,15
yesterday,1229
jay,132
hernandez,15
unf,6
thingsaboutme,36
cancer,297
chemo,19
remission,6
ack,21
however,972
reverse,77
scrolling,20
hoot,34
suite,82
confounding,1
understand,858
held,461
imp,8
community,817
buy,1393
completely,644
ignored,75
guitar,217
teaches,57
telling,491
lessons,160
david,491
nigguh,2
someday,164
school,3403
posey,11
intriguing,43
standing,334
chipotle,47
couple,1211
playing,1460
phones,172
smack,65
adorable,239
wished,76
painful,110
zit,2
woulda,41
urgent,39
casting,91
story,1800
appreciated,174
exclusive,100
printer,65
solidified,6
sombreros,2
oz,166
bottle,382
sauce,342
watermelons,2
avocados,8
whatever,657
easiest,59
wat,182
boston,372
suitcases,7
breaking,331
zipper,21
parking,250
wedding,489
upbeat,17
moods,19
yailyard,1
sunrise,48
haave,1
bought,747
zoo,105
rushmore,4
greatly,82
displeased,5
council,262
severely,26
limiting,17
dcps,1
libraries,129
voiture~,1
fortune,91
deceiver,1
sells,64
dear,703
eric,133
bana,2
ham,101
dudes,125
bigg,4
dummy,27
sanford,15
similac,1
erics,1
atlanta,210
junior,170
finally,1705
twilight,70
dawn,103
prom,200
here's,577
headline,45
bay,319
massacre,21
shouldn't,319
close,1125
thats,694
awsum,1
puttin,20
crib,75
except,508
tupac,34
hologram,26
kinda,535
creepy,155
naturally,108
within,670
notably,23
earlier,479
delicious,476
swiss,55
army,181
communication,141
device,111
jackie,55
wine,758
guide,216
drink,867
quintessential,4
verse,95
defined,85
artist,426
mc,39
least,1692
wasting,52
happen,1046
ground,473
piggy,22
bank,341
lines,342
sheep,70
adairs,2
saloon,15
fair,525
warned,55
writing,1256
links,258
assume,161
drama,257
sleepy,140
thee,82
morninng,1
videos,327
headache,117
based,706
