word1,count
pulls,30
clothes,194
xox,24
thursday's,12
digital,271
learning,447
process,211
strengthening,3
assessing,3
century,84
ferdi,1
serim,1
est,72
gag,15
lame,141
firehouse,3
subs,19
tgifriday,1
worried,133
bout,612
nun,29
bt,21
thirsty,63
females,75
shhh,13
yesterday,833
jay,98
hernandez,8
unf,6
thingsaboutme,36
cancer,138
chemo,3
remission,1
ack,16
however,118
reverse,36
scrolling,15
hoot,27
suite,50
confounding,1
understand,484
held,109
imp,5
community,389
buy,898
completely,220
ignored,29
guitar,129
teaches,24
telling,279
lessons,82
david,284
nigguh,2
someday,115
school,2044
posey,9
intriguing,15
standing,130
chipotle,40
couple,449
playing,1028
phones,127
smack,48
adorable,142
wished,39
painful,60
zit,1
woulda,40
urgent,22
casting,68
story,766
appreciated,109
exclusive,64
printer,37
solidified,3
sombreros,1
oz,66
bottle,176
sauce,102
watermelons,2
avocados,4
whatever,320
easiest,27
wat,180
boston,317
suitcases,2
breaking,231
zipper,6
parking,152
wedding,233
upbeat,9
moods,12
yailyard,1
sunrise,32
haave,1
bought,377
zoo,68
rushmore,3
greatly,36
displeased,2
council,100
severely,7
limiting,6
dcps,1
libraries,107
voiture~,1
fortune,41
deceiver,1
sells,28
dear,487
eric,80
bana,1
ham,66
dudes,117
bigg,4
dummy,13
sanford,6
similac,1
erics,1
atlanta,177
junior,97
finally,1019
twilight,43
dawn,43
prom,174
here's,199
headline,32
bay,189
massacre,13
shouldn't,229
close,592
thats,662
awsum,1
puttin,20
crib,49
except,234
tupac,34
hologram,25
kinda,455
creepy,125
naturally,28
within,204
notably,1
earlier,209
delicious,271
swiss,18
army,64
communication,53
device,50
jackie,28
wine,481
guide,91
drink,613
quintessential,2
verse,37
defined,29
artist,289
mc,32
least,832
wasting,29
happen,653
ground,155
piggy,13
bank,161
lines,103
sheep,23
adairs,2
saloon,13
fair,291
warned,19
writing,573
links,139
assume,106
drama,185
sleepy,123
thee,51
morninng,1
videos,253
headache,91
based,257
improv,31
troupes,2
narrative,23
longform,1
festival,228
few,1103
slots,12
yer,22
deets,14
postcard,9
reminder,102
midtown,26
wine&,1
jazz,192
mixer,29
dec,69
kennedy,38
gallery,80
alison,6
mcghee,1
warming,27
lala,8
the's,146
and's,27
weather,680
uniforms,26
oregon,80
jessica,84
simpson,35
does,1929
realize,346
drew,70
lachey,1
elli,1
clarendon,2
swear,253
twin,86
bus,351
widd,2
andrea,30
brown,273
color,250
spell,113
e,633
stat,54
int'l,21
students,558
employed,18
interesting,662
australian,24
ridiculous,136
dog's,15
momma,73
birth,105
icon,113
iconic,54
boyz,83
luv,192
madison,141
alamia,2
natl,8
patient,52
advocacy,19
honoring,19
ensure,30
receive,156
quality,193
comprehensive,16
curriculum,23
basic,61
workbooks,1
hits,163
tables,48
storytelling,22
lived,134
tale,25
befriends,1
bold,46
november,111
theouterspacemen,2
graphic,69
journey,119
metro,107
milwaukee,270
mls,25
stats,43
slow,280
july,246
buyers,18
minds,130
resume,95
discrition,1
exeriance,1
experties,1
ad,148
public,463
system,294
tend,50
rider,12
elephant,34
past,497
which,1181
sci,24
fi,41
letdown,2
declined,7
power,516
influence,59
protect,99
fight,488
issue,279
fareed,3
zakaria,3
cnn,52
doomsday,4
arrives,26
baked,45
beans,57
worth,521
brick,32
gold,186
advice,286
qb,79
sf,176
ravens,50
fit,203
weekends,55
handjob,1
wanting,113
early,954
gunshot,3
shit's,7
karma,56
inspiring,106
stories,234
fund,59
keyholder,1
erm,4
lying,97
messaging,29
gents,15
anymore,452
stressed,48
ff,229
homepage,13
playstub,1
frustrating,47
clinched,8
half,747
yellow,110
road,412
aca,8
joked,6
anthony,103
thinks,239
beamers,5
theglassbar,1
clubs,38
hate,1728
assignment,34
saving,90
sip,27
rocking,121
riot,29
listing,41
jordans,13
assets,13
huh,248
flashcards,5
michael,213
leave,709
study,246
da,383
water,510
kim's,6
fairy,32
amy,73
kisses,57
kellie,4
paced,8
lifestyle,42
toll,21
health,349
appearance,42
americans,98
tbh,20
ez,12
extensions,10
wigs,13
wiggy,1
springs,53
include,126
manitou,1
referring,56
co,339
ku,18
greatest,243
players,324
guardian,6
training,311
veteran,20
quotes,93
stance,13
posture,6
reflect,30
morihei,1
ueshiba,1
seat,144
skips,6
beat,578
everybody,448
hoge,2
black,769
hoodie,37
pack,197
dumb,263
shades,54
gots,23
tix,148
follower,181
resides,3
nc,105
voted,109
book,1179
plus,340
snuck,10
theater,132
hunger,155
nervous,131
math,144
hw,56
socialmediatip,2
intelligent,28
woolier,1
tilapia,2
tostadas,2
avocado,19
salsa,57
sad,736
allergic,20
pizza,327
minutes,671
spare,50
starting,722
fake,258
feeds,21
scholarly,16
perspectives,17
detached,3
ethnography,5
joined,83
adult,108
rigght,1
mite,14
figure,263
mall,165
sy,2
mutual,36
chains,20
sale,309
keep,2149
checking,202
directly,61
grades,40
elite,48
chance,609
blue,384
romance,46
sleeping,211
romantic,42
adventure,96
once,834
hero,109
american,475
craft,73
bars,102
across,261
celebrating,150
tapping,15
parties,103
mentortech,1
ventures,6
interactive,60
extras,16
etextbooks,1
contribute,26
distract,8
start,1692
drinking,295
coffee,738
nope,198
swagga,3
gee,32
becky,15
ending,127
xd,331
supporters,54
parade,90
cheering,60
along,321
marchers,1
frequents,1
stores,99
bound,92
bump,48
quiz,31
tkam,2
chapters,22
actress,52
worked,255
q,270
consultant,18
concept,93
takes,396
son,348
he'll,142
prospect,20
camp,158
javonn,1
curry,29
highlights,36
branch,43
falls,94
asleep,244
contacts,49
wakes,22
goes,711
feels,450
peeling,5
layer,19
actual,122
eye,330
honest,129
christmas,570
gift,368
>,677
t,737
orange,164
colors,98
webegreater,7
tango,18
weird,461
interview,354
ugh,575
jeanette,3
photos,260
retweeting,48
lacing,1
muthafucking,1
nation,111
started,667
iftheyshutdowntwitter,1
learned,283
presentation,189
doula,1
powerful,108
using,554
compared,50
pros,32
solo,93
>>>>,47
eating,446
apartment,118
scared,248
elegant,12
dashboard,15
touch,311
gesture,11
specific,86
analytics,30
networks,60
followu,1
tune,254
lowerlevelradio,3
resident,34
dj,197
lazer,3
in's,25
groove,29
theory,78
mixing,46
beginning,178
tweeted,219
garcia,20
phelps,10
came,714
relief,53
doesnt,130
beast,138
loved,624
btw,270
hu,13
talkin,104
sunday,805
planted,13
marlin,1
fool,139
models,73
renewable,5
porfolio,1
standards,62
rps,1
states,153
effective,79
batman,50
kindle,84
fire,427
comoxiolgy,1
shaun,9
definition,58
insane,116
workout,273
kicked,102
screaming,89
paige,9
hemmis,1
extreme,56
makeover,14
edition,70
blonde,73
dad's,40
graduation,160
jailed,2
contractor,14
alan,49
gross,102
used,843
phonecall,2
cuba,13
mitchell,29
plead,4
firing,15
creative,197
powers,44
uo,5
aaron,92
rodgers,41
mvp,48
late,794
mavs,46
gotta,1019
littlest,4
eilena,1
helen,24
final,469
stages,9
bizness,3
manual,19
agent,83
ilovemylife,1
beats,179
brotha,31
tigers,59
momentum,28
comeback,53
victory,106
palesoxs,1
mobile,281
adoptions,2
unit,33
petco,9
airport,173
ant,29
liking,88
palease,1
babygirl,7
fb,416
bestie,32
telepathy,1
awe,87
bum,38
practice,336
avi,64
either,605
follows,170
denver,209
park,531
woo,180
manhunt,1
monday,790
resources,99
future,564
pants,212
slogan,15
ridin,11
south,309
condo,14
katrina,11
desserts,18
sweeter,15
hardestthingtodo,1
laugh,329
viagra,11
summit,75
participated,20
attended,75
collaboration,47
national,373
society,116
induction,9
eggs,114
bacon,153
scott,184
hugo,18
freezing,50
moment,629
prayers,123
nails,85
often,319
enjoyable,37
arts,175
center,414
interstates,1
lydia,6
burrell,3
preparing,86
drop,282
sun,460
sexy,353
&&,77
ld,5
middle,341
knew,465
flash,88
towel,20
everyday,305
confusion,24
takeaway,8
chronicle,20
higher,152
ed,189
fuck,1193
wana,37
customer,208
considering,127
science,189
literally,222
funniest,53
hysterical,24
los,125
college,548
above,103
certain,125
ba,28
poetry,71
gap,22
seeds,38
paradigm,8
gardens,39
riser,1
nightowl,2
wallet,43
mtg,57
policy,98
update,242
incl,20
research,272
&ed,1
issues,275
adhoctax,1
retreat,26
concerns,30
fy,9
rest,578
gayest,3
kid,494
xx,125
scores,51
recorded,67
eacz,1
jacinto,3
navarro,4
shift,87
winner's,4
bracket,49
portion,33
sounds,1004
nightmare,53
patty's,16
grey,85
drizzly,1
splashes,1
stm,4
shuttle,41
corridor,9
bueno,14
pleases,6
starve,9
bully,35
feed,211
soul,235
grand,185
grammys,25
fangirling,9
max,97
uk,209
sec,92
theraflu,5
kobe's,8
flu,45
drunk,258
scotch,24
smoke,173
cigars,10
bones,54
important,430
elections,29
relax,109
kayne,3
list,634
kei,5
kamara,5
trending,192
nationally,7
talented,156
gorgeous,277
printing,70
press,265
soo,226
beloved,20
father,161
december,99
previously,14
undiagnosed,1
advanced,29
acs,8
constantly,61
learn,637
homie,138
bored,395
edit,59
experiment,35
photography,59
establishing,1
natural,176
anthropological,1
certainty,5
suicidal,3
courage,71
must,1208
modesty,3
questions,404
nj,75
